zeit,station,gemessen_kn,grad,arome_kn
2026-08-23T07:30+02:00,Cullera Faro,7,244,4.4
2026-08-23T07:30+02:00,Cullera San Antonio,3,332,4.4
2026-08-23T08:40+02:00,Cullera Faro,10,272,4.5
2026-08-23T08:45+02:00,Cullera San Antonio,4,342,4.5
2026-08-23T09:30+02:00,Cullera Faro,3,294,3.9
2026-08-23T09:35+02:00,Cullera San Antonio,1,26,3.9
2026-08-23T10:30+02:00,Cullera Faro,3,254,3.9
2026-08-23T10:30+02:00,Cullera San Antonio,2,106,3.9
2026-08-23T11:30+02:00,Cullera Faro,2,77,1.4
2026-08-23T11:30+02:00,Cullera San Antonio,2,144,1.4
2026-08-23T12:10+02:00,Cullera Faro,5,78,
2026-08-23T12:20+02:00,Cullera San Antonio,5,84,
2026-08-23T12:40+02:00,Cullera Faro,7,139,6.7
2026-08-23T12:45+02:00,Cullera San Antonio,4,11,6.7
2026-08-23T13:10+02:00,Cullera Faro,8,111,3.9
2026-08-23T13:15+02:00,Cullera San Antonio,4,84,3.9
2026-08-23T13:50+02:00,Cullera Faro,2,160,3.9
2026-08-23T13:40+02:00,Cullera San Antonio,6,95,3.9
2026-08-23T14:50+02:00,Cullera Faro,4,115,6.5
2026-08-23T14:40+02:00,Cullera San Antonio,3,142,6.5
2026-08-23T15:30+02:00,Cullera Faro,5,115,10.4
2026-08-23T15:25+02:00,Cullera San Antonio,6,137,10.4
2026-08-23T16:10+02:00,Cullera Faro,7,123,10.5
2026-08-23T16:20+02:00,Cullera San Antonio,3,124,10.5
2026-08-23T16:40+02:00,Cullera Faro,5,186,10.5
2026-08-23T16:45+02:00,Cullera San Antonio,4,84,10.5
2026-08-23T17:20+02:00,Cullera Faro,6,339,11.7
2026-08-23T17:20+02:00,Cullera San Antonio,5,124,11.7
2026-08-23T17:50+02:00,Cullera Faro,4,163,11.7
2026-08-23T17:45+02:00,Cullera San Antonio,4,147,11.7
2026-08-23T18:10+02:00,Cullera Faro,7,125,14.2
2026-08-23T18:20+02:00,Cullera San Antonio,6,142,14.2
2026-08-23T19:20+02:00,Cullera Faro,8,226,14.5
2026-08-23T19:20+02:00,Cullera San Antonio,4,87,14.5
2026-08-23T19:40+02:00,Cullera Faro,9,90,14.5
2026-08-23T19:45+02:00,Cullera San Antonio,5,138,14.5
2026-08-23T20:30+02:00,Cullera Faro,6,91,13.7
2026-08-23T20:25+02:00,Cullera San Antonio,4,232,13.7
2026-08-23T21:10+02:00,Cullera Faro,3,163,12.7
2026-08-23T21:16+02:00,Cullera San Antonio,5,132,12.7
2026-08-23T21:40+02:00,Cullera Faro,10,92,12.7
2026-08-23T21:41+02:00,Cullera San Antonio,2,109,12.7
2026-08-24T07:30+02:00,Cullera Faro,6,249,4.3
2026-08-24T07:30+02:00,Cullera San Antonio,3,300,4.3
2026-08-24T09:00+02:00,Cullera Faro,2,278,2.4
2026-08-24T09:00+02:00,Cullera San Antonio,2,339,2.4
2026-08-24T10:00+02:00,Cullera Faro,7,286,1.7
2026-08-24T10:00+02:00,Cullera San Antonio,3,225,1.7
2026-08-24T11:20+02:00,Cullera Faro,2,226,3.4
2026-08-24T11:15+02:00,Cullera San Antonio,1,333,3.4
2026-08-24T12:00+02:00,Cullera Faro,1,222,3.5
2026-08-24T12:05+02:00,Cullera San Antonio,2,205,3.5
2026-08-24T13:00+02:00,Cullera Faro,1,174,7.8
